"","comb08","cylinders","displ","drive","year","Class","trans"
"74",23,4,2,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"75",26,4,2,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"76",19,6,2.5,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"77",20,6,2.5,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"78",19,6,3,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"79",10,8,5.9,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"80",23,4,2.2,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"81",19,6,3.3,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"82",21,6,3.3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"83",20,6,3.1,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"84",20,6,3.1,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"85",18,6,3.4,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"86",18,6,3.4,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"87",20,6,3.8,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"88",21,4,2.5,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"89",23,4,2.5,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"90",13,6,4.9,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"91",25,4,2.5,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"92",20,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"93",21,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"94",20,6,3.1,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"95",20,6,3.1,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"96",18,6,3.4,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"97",18,6,3.4,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"98",11,8,6.8,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"99",11,8,6.8,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"100",11,8,6.8,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"101",14,6,4.9,"Rear-Wheel Drive",1985,"Van","Automatic 4 Speed"
"102",21,4,2.2,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"103",22,4,2.2,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"104",19,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"105",18,6,3,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"106",21,4,2,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"107",22,4,2,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"108",18,6,2.8,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"109",20,6,2.8,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"110",21,4,2.2,"Front-Wheel Drive",1985,"Compact","Manual 5 Speed"
"111",16,6,4.9,"Rear-Wheel Drive",1985,"Van","Manual 4 Speed"
"112",19,4,2.3,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"113",20,4,2.3,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"114",18,6,2.9,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"115",20,6,3.8,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"116",18,6,3.8,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"117",20,6,3.8,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"118",17,8,5.7,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"119",17,8,4.9,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"120",17,8,5.7,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"121",19,6,4.3,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"122",12,8,5,"Rear-Wheel Drive",1985,"Van","Automatic 4 Speed"
"123",18,8,5,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"124",17,8,5.7,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"125",21,6,3.3,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"126",19,6,3.5,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"127",20,6,3.3,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"128",19,6,3.8,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"129",21,6,3.3,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"130",19,6,3.5,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"131",21,6,3.3,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"132",19,6,3.5,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"133",11,8,5.8,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"134",19,8,4.6,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"135",18,6,3.8,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"136",19,8,4.6,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"137",19,8,4.6,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"138",19,6,3.5,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"139",15,6,3.2,"Rear-Wheel Drive",1993,"Large","Automatic 5 Speed"
"140",14,8,4.2,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"141",13,8,5,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"142",20,6,3.8,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"143",20,6,3.8,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"144",15,6,4.3,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"145",18,6,3.8,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"146",18,6,3.8,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"147",20,6,3.8,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"148",11,8,6.8,"Rear-Wheel Drive",1993,"Large","Automatic 4 Speed"
"149",18,4,2.3,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"150",18,4,2.3,"Front-Wheel Drive",1993,"Large","Automatic 4 Speed"
"151",19,4,2.3,"Front-Wheel Drive",1993,"Large","Manual 5 Speed"
"152",20,4,2.3,"Front-Wheel Drive",1993,"Large","Manual 5 Speed"
"153",18,6,2.8,"4-Wheel or All-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"154",19,6,2.5,"Rear-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"155",16,6,4.3,"Rear-Wheel Drive",1985,"Van","Automatic 4 Speed"
"156",23,4,2.2,"Front-Wheel Drive",1993,"Wagon","Automatic 3 Speed"
"157",21,6,3.1,"Front-Wheel Drive",1993,"Wagon","Automatic 3 Speed"
"158",15,6,3,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"159",25,4,1.9,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"160",28,4,1.9,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"161",21,4,2.2,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"162",22,4,2.2,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"163",25,4,1.9,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"164",28,4,1.9,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"165",26,4,1.9,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"166",15,6,4.3,"Rear-Wheel Drive",1985,"Van","Manual 3 Speed"
"167",24,4,1.9,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"168",28,4,1.9,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"169",25,4,1.9,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"170",22,4,2.2,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"171",23,4,2.2,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"172",21,4,2.2,"4-Wheel or All-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"173",21,4,2.2,"4-Wheel or All-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"174",18,4,2.2,"4-Wheel or All-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"175",22,4,1.8,"Front-Wheel Drive",1993,"Wagon","Automatic 3 Speed"
"176",24,4,1.8,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"177",12,8,5,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"178",25,4,1.8,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"179",26,4,1.8,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"180",21,4,2.2,"Front-Wheel Drive",1993,"Wagon","Automatic 3 Speed"
"181",19,6,3.3,"Front-Wheel Drive",1993,"Wagon","Automatic 3 Speed"
"182",21,6,3.3,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"183",20,4,1.8,"4-Wheel or All-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"184",23,4,1.8,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"185",21,4,1.8,"4-Wheel or All-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"186",23,4,1.8,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"187",19,4,2.4,"4-Wheel or All-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"188",14,8,5,"Rear-Wheel Drive",1985,"Van","Automatic 4 Speed"
"189",20,4,2.4,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"190",19,4,2.4,"4-Wheel or All-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"191",21,4,2.4,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"192",21,6,3,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"193",20,6,3.8,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"194",21,6,3,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"195",20,6,3.8,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"196",19,4,2.4,"4-Wheel or All-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"197",20,4,2.4,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"198",19,4,2.4,"4-Wheel or All-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"199",13,8,5.7,"Rear-Wheel Drive",1985,"Van","Automatic 4 Speed"
"200",21,4,2.4,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"201",23,4,1.8,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"202",20,4,1.8,"4-Wheel or All-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"203",23,4,1.8,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"204",21,4,1.8,"4-Wheel or All-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"205",20,4,2.4,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"206",19,4,2.4,"4-Wheel or All-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"207",21,4,2.4,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"208",19,4,2.4,"4-Wheel or All-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"209",21,4,2.2,"Front-Wheel Drive",1993,"Wagon","Automatic 3 Speed"
"210",18,8,6.2,"Rear-Wheel Drive",1985,"Van","Automatic 4 Speed"
"211",19,6,3.3,"Front-Wheel Drive",1993,"Wagon","Automatic 3 Speed"
"212",21,6,3.3,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"213",19,6,3,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"214",23,4,1.8,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"215",20,4,1.8,"4-Wheel or All-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"216",23,4,1.8,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"217",21,4,1.8,"4-Wheel or All-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"218",19,4,2.4,"4-Wheel or All-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"219",20,4,2.4,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"220",19,4,2.4,"4-Wheel or All-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"221",20,4,2.2,"Front-Wheel Drive",1985,"Compact","Manual 5 Speed"
"222",17,8,6.2,"Rear-Wheel Drive",1985,"Van","Manual 4 Speed"
"223",21,4,2.4,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"224",21,4,2.2,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"225",19,6,3,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"226",21,4,2,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"227",22,4,2,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"228",18,6,2.8,"Front-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"229",20,6,2.8,"Front-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"230",20,4,2.3,"Rear-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"231",21,4,2.3,"Rear-Wheel Drive",1993,"Wagon","Manual 5 Speed"
"232",19,4,2.3,"Rear-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"233",11,8,5.7,"Rear-Wheel Drive",1985,"Van","Automatic 4 Speed"
"234",20,4,2.3,"Rear-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"235",18,6,2.9,"Rear-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"236",17,8,5.7,"Rear-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"237",18,8,5,"Rear-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"238",17,8,5.7,"Rear-Wheel Drive",1993,"Wagon","Automatic 4 Speed"
"239",20,4,2.5,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"240",22,4,2.5,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"241",19,6,2.8,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"242",18,6,4.3,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"243",18,6,4.3,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"244",20,4,2.5,"Rear-Wheel Drive",1985,"Van","Automatic 4 Speed"
"245",20,4,2.4,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"246",22,4,2.4,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"247",18,6,3,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"248",19,4,2.4,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"249",19,4,2.4,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"250",20,4,2.5,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"251",22,4,2.5,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"252",19,6,2.8,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"253",18,6,4.3,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"254",18,6,4.3,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"255",21,4,2.5,"Rear-Wheel Drive",1985,"Van","Manual 4 Speed"
"256",18,6,4.3,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"257",20,4,2.3,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"258",19,4,2.6,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"259",18,4,2.6,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"260",19,4,2.4,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"261",19,4,2.4,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"262",17,6,4.3,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"263",17,6,4.3,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"264",16,6,4.3,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"265",16,6,4.3,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"266",22,4,2.5,"Rear-Wheel Drive",1985,"Van","Manual 5 Speed"
"267",15,8,5,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"268",15,8,5,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"269",14,8,5.7,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"270",14,8,5.7,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"271",14,8,5.7,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"272",10,8,7.4,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"273",17,6,4.3,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"274",16,6,4.3,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"275",16,6,4.3,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"276",14,8,5,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"277",17,6,4.3,"Rear-Wheel Drive",1985,"Van","Automatic 4 Speed"
"278",15,8,5,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"279",14,8,5.7,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
