"","comb08","cylinders","displ","drive","year","Class","trans"
"10888",16,8,4.6,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10889",16,6,4.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10890",16,6,4.3,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10891",15,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10892",15,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10893",15,8,4.8,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10894",14,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10895",18,6,2.5,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10896",18,6,2.5,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10897",22,4,2,"Front-Wheel Drive",1986,"Compact","Manual 5 Speed"
"10898",16,6,4.2,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10899",15,6,4.2,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10900",16,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10901",17,6,3.5,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10902",19,4,2.4,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10903",21,4,2.4,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10904",21,4,2.4,"Front-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10905",22,4,2.4,"Front-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10906",16,6,3.7,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10907",14,8,4.7,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10908",18,6,3,"Rear-Wheel Drive",1986,"Compact","Automatic 4 Speed"
"10909",14,8,5.7,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10910",22,4,2,"Front-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10911",19,6,3,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10912",15,8,4.6,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10913",14,8,5.4,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10914",15,8,4.6,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10915",15,8,4.8,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10916",14,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10917",15,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10918",16,6,4.2,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10919",19,6,3,"Rear-Wheel Drive",1986,"Compact","Manual 5 Speed"
"10920",15,6,4.2,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10921",16,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10922",16,6,4.3,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10923",22,4,2.4,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10924",21,4,2.4,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10925",21,4,2.4,"Front-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10926",20,4,2.4,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10927",20,4,2.4,"Front-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10928",20,6,2.7,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10929",17,6,3.5,"Front-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10930",13,8,5.6,"Rear-Wheel Drive",1986,"Compact","Automatic 4 Speed"
"10931",17,6,3.5,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10932",14,8,5.6,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10933",15,6,4.2,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10934",16,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10935",16,6,4.2,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10936",18,6,3.5,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10937",18,6,3.2,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10938",17,6,3.2,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10939",18,6,3.5,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10940",16,6,4,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10941",26,4,2.2,"Front-Wheel Drive",1985,"Compact","Manual 5 Speed"
"10942",20,4,2.4,"Front-Wheel Drive",1986,"Compact","Automatic 4 Speed"
"10943",16,8,4.7,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10944",19,4,2.4,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10945",17,6,3.7,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10946",17,6,3.7,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10947",16,6,3.5,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10948",16,6,3.5,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10949",20,6,3.3,"Front-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10950",20,6,3.3,"Front-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10951",14,8,4.6,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10952",13,8,5.4,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10953",23,4,2.5,"Front-Wheel Drive",1986,"Compact","Automatic 3 Speed"
"10954",22,4,2,"Front-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10955",19,6,3,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10956",15,8,4.6,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10957",18,6,3.8,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10958",17,6,3.5,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10959",17,6,3.5,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10960",21,4,2.4,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10961",20,6,3.5,"Front-Wheel Drive",2004,"SUV","Automatic Other"
"10962",16,6,3.5,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10963",14,8,5.6,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10964",24,4,2.5,"Front-Wheel Drive",1986,"Compact","Manual 5 Speed"
"10965",19,4,2.4,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10966",15,6,3.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10967",17,6,3.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10968",17,6,3.3,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10969",16,6,4.2,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10970",20,6,3.4,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10971",22,4,2.2,"Front-Wheel Drive",2004,"SUV","Automatic Other"
"10972",23,4,2.2,"Front-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10973",20,6,3.5,"Front-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10974",18,6,2.5,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10975",20,6,3,"Front-Wheel Drive",1986,"Compact","Automatic 3 Speed"
"10976",18,6,2.5,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10977",18,6,2.7,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10978",17,6,2.7,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10979",18,6,2.5,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10980",18,6,2.5,"Rear-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10981",18,6,4,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10982",16,8,4.7,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10983",22,4,2.4,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10984",19,6,3.3,"Front-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10985",23,4,2.4,"Front-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10986",24,4,1.8,"Front-Wheel Drive",1986,"Compact","Automatic 3 Speed"
"10987",23,4,2.4,"Front-Wheel Drive",2004,"SUV","Manual 5 Speed"
"10988",14,8,4.7,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"10989",17,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10990",17,6,2.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 6 Speed"
"10991",17,6,2.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10992",16,8,4.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10993",18,6,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 6 Speed"
"10994",17,6,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10995",18,6,3,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 6 Speed"
"10996",20,4,1.8,"Front-Wheel Drive",1986,"Compact","Automatic 3 Speed"
"10997",17,6,3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"10998",16,6,3,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 6 Speed"
"10999",16,6,3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11000",16,8,4.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 6 Speed"
"11001",16,6,4.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11002",15,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11003",18,6,3.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11004",19,6,3.6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11005",13,8,6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11006",13,8,6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11007",21,4,1.8,"Front-Wheel Drive",1986,"Compact","Manual 4 Speed"
"11008",13,8,6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11009",17,6,3.6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11010",15,8,4.6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11011",15,6,4.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11012",15,6,4.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11013",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11014",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11015",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11016",15,8,4.8,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11017",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11018",27,4,1.8,"Front-Wheel Drive",1986,"Compact","Manual 5 Speed"
"11019",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11020",18,6,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11021",18,6,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11022",18,6,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11023",16,6,4.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11024",16,6,4.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11025",15,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11026",17,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11027",14,8,4.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11028",13,8,5.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11029",22,4,2,"Front-Wheel Drive",1986,"Compact","Automatic 3 Speed"
"11030",18,6,3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11031",14,8,4.6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11032",13,8,5.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11033",15,8,4.6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11034",16,6,4.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11035",15,6,4.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11036",15,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11037",15,6,4.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11038",15,8,4.8,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11039",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11040",25,4,2,"Front-Wheel Drive",1986,"Compact","Manual 4 Speed"
"11041",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11042",13,8,6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11043",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11044",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11045",13,8,6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11046",21,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11047",21,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11048",20,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11049",20,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11050",17,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11051",27,4,2.2,"Front-Wheel Drive",1985,"Compact","Manual 5 Speed"
"11052",19,6,2.8,"Front-Wheel Drive",1986,"Compact","Automatic 3 Speed"
"11053",18,6,2.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11054",17,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11055",17,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11056",15,8,4.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11057",14,8,5.6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11058",16,6,4.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11059",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11060",16,6,4.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11061",17,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11062",17,6,3.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11063",19,6,2.8,"Front-Wheel Drive",1986,"Compact","Manual 4 Speed"
"11064",17,6,3.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11065",17,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11066",16,6,4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11067",15,8,4.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11068",19,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11069",17,6,3.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11070",16,6,3.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11071",17,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11072",17,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11073",16,6,4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11074",19,4,2,"Rear-Wheel Drive",1986,"Compact","Automatic 4 Speed"
"11075",16,6,4,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11076",15,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11077",15,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11078",17,6,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11079",12,8,4.6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11080",12,8,4.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11081",15,8,4.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11082",13,8,4.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11083",19,6,3.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11084",19,6,3.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11085",19,4,2,"Rear-Wheel Drive",1986,"Compact","Manual 5 Speed"
"11086",13,8,4.6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11087",21,4,2,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11088",18,6,3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11089",12,8,5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11090",13,8,5.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11091",15,6,3.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11092",14,8,5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11093",15,8,4.6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11094",17,6,3.8,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11095",15,6,3.8,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11096",18,4,2.2,"Rear-Wheel Drive",1986,"Compact","Automatic 4 Speed"
"11097",15,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11098",20,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11099",20,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic Other"
"11100",15,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11101",14,8,5.6,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11102",15,6,3.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11103",16,6,3.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11104",16,6,3.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11105",16,6,4.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11106",18,6,3.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11107",19,4,2.2,"Rear-Wheel Drive",1986,"Compact","Manual 5 Speed"
"11108",15,6,3.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11109",14,8,4.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11110",14,8,4.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11111",21,4,2.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic Other"
"11112",19,6,3.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11113",21,4,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11114",18,4,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11115",21,4,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11116",18,4,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11117",19,4,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11118",22,4,2.5,"Rear-Wheel Drive",1986,"Compact","Automatic 4 Speed"
"11119",21,4,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11120",18,4,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11121",21,4,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11122",18,6,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11123",18,6,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11124",17,6,2.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11125",17,6,2.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11126",18,6,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11127",18,6,2.5,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11128",17,6,4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11129",26,4,2.5,"Rear-Wheel Drive",1986,"Compact","Manual 5 Speed"
"11130",15,8,4.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11131",20,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11132",19,6,3.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11133",13,8,4.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11134",22,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11135",21,4,2.4,"4-Wheel or All-Wheel Drive",2004,"SUV","Manual 5 Speed"
"11136",14,8,4.7,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11137",15,6,3.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 6 Speed"
"11138",14,8,4.2,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 6 Speed"
"11139",30,4,1.6,"Front-Wheel Drive",1986,"Compact","Manual 4 Speed"
"11140",16,6,2.9,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11141",13,8,5.4,"Rear-Wheel Drive",2004,"Truck","Automatic 4 Speed"
"11142",12,8,5.4,"Rear-Wheel Drive",2004,"Truck","Automatic 4 Speed"
"11143",12,8,5.4,"4-Wheel or All-Wheel Drive",2004,"Truck","Automatic 4 Speed"
"11144",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"Truck","Automatic 4 Speed"
"11145",15,8,5.3,"Rear-Wheel Drive",2004,"Truck","Automatic 4 Speed"
"11146",15,8,5.3,"Rear-Wheel Drive",2004,"Truck","Automatic 4 Speed"
"11147",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"Truck","Automatic 4 Speed"
"11148",27,4,1.6,"Front-Wheel Drive",1986,"Compact","Manual 4 Speed"
"11149",14,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11150",14,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11151",15,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11152",15,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11153",14,8,5.3,"Rear-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11154",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11155",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11156",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11157",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11158",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11159",21,4,2.2,"Front-Wheel Drive",1985,"Compact","Manual 5 Speed"
"11160",23,4,2.2,"Front-Wheel Drive",1986,"Compact","Automatic 3 Speed"
"11161",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11162",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11163",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11164",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11165",14,8,5.3,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 4 Speed"
"11166",24,4,2.2,"Front-Wheel Drive",2004,"Compact","Automatic 4 Speed"
"11167",28,4,1.7,"Front-Wheel Drive",2004,"Compact","Automatic Other"
"11168",10,8,6,"Rear-Wheel Drive",2004,"Truck","Automatic 4 Speed"
"11169",21,6,2.7,"Front-Wheel Drive",2004,"Compact","Automatic 4 Speed"
"11170",21,6,2.7,"Front-Wheel Drive",2004,"Compact","Automatic 4 Speed"
"11171",26,4,2.2,"Front-Wheel Drive",1986,"Compact","Manual 5 Speed"
"11172",21,6,2.7,"Front-Wheel Drive",2004,"Midsize","Automatic 4 Speed"
"11173",21,6,2.7,"Front-Wheel Drive",2004,"Midsize","Automatic 4 Speed"
"11174",21,6,2.7,"Front-Wheel Drive",2004,"Midsize","Automatic 4 Speed"
"11175",21,6,2.7,"Front-Wheel Drive",2004,"Midsize","Automatic 4 Speed"
"11176",16,6,4,"Rear-Wheel Drive",2004,"Truck","Automatic 5 Speed"
"11177",16,6,4,"4-Wheel or All-Wheel Drive",2004,"Truck","Automatic 5 Speed"
"11178",16,6,4,"4-Wheel or All-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11179",16,6,4,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11180",16,6,4,"Rear-Wheel Drive",2004,"SUV","Automatic 5 Speed"
"11181",20,6,2.6,"Rear-Wheel Drive",2004,"Compact","Automatic 5 Speed"
"11182",23,4,2.5,"Front-Wheel Drive",1986,"Compact","Automatic 3 Speed"
"11183",20,6,3.2,"Rear-Wheel Drive",2004,"Compact","Automatic 5 Speed"
"11184",20,6,3.2,"Rear-Wheel Drive",2004,"Compact","Automatic 5 Speed"
"11185",20,6,2.6,"Rear-Wheel Drive",2004,"Wagon","Automatic 5 Speed"
